,Artist,Album,Track,Minutes
0,AC/DC,For Those About To Rock We Salute You,For Those About To Rock (We Salute You),5.72865
1,AC/DC,For Those About To Rock We Salute You,Put The Finger On You,3.4277
2,AC/DC,For Those About To Rock We Salute You,Let's Get It Up,3.89876666667
3,AC/DC,For Those About To Rock We Salute You,Inject The Venom,3.5139
4,AC/DC,For Those About To Rock We Salute You,Snowballed,3.38503333333
5,AC/DC,For Those About To Rock We Salute You,Evil Walks,4.39161666667
6,AC/DC,For Those About To Rock We Salute You,C.O.D.,3.3306
7,AC/DC,For Those About To Rock We Salute You,Breaking The Rules,4.38813333333
8,AC/DC,For Those About To Rock We Salute You,Night Of The Long Knives,3.42813333333
9,AC/DC,For Those About To Rock We Salute You,Spellbound,4.51438333333
10,AC/DC,Let There Be Rock,Go Down,5.51966666667
11,AC/DC,Let There Be Rock,Dog Eat Dog,3.5866
12,AC/DC,Let There Be Rock,Let There Be Rock,6.1109
13,AC/DC,Let There Be Rock,Bad Boy Boogie,4.46213333333
14,AC/DC,Let There Be Rock,Problem Child,5.41735
15,AC/DC,Let There Be Rock,Overdose,6.15531666667
16,AC/DC,Let There Be Rock,Hell Ain't A Bad Place To Be,4.23966666667
17,AC/DC,Let There Be Rock,Whole Lotta Rosie,5.39601666667
18,Accept,Balls to the Wall,Balls to the Wall,5.70936666667
19,Accept,Restless and Wild,Fast As a Shark,3.84365
20,Accept,Restless and Wild,Restless and Wild,4.20085
21,Accept,Restless and Wild,Princess of the Dawn,6.25696666667
22,Aerosmith,Big Ones,Walk On Water,4.928
23,Aerosmith,Big Ones,Love In An Elevator,5.3638
24,Aerosmith,Big Ones,Rag Doll,4.41163333333
25,Aerosmith,Big Ones,What It Takes,5.17703333333
26,Aerosmith,Big Ones,Dude (Looks Like A Lady),4.41425
27,Aerosmith,Big Ones,Janie's Got A Gun,5.51226666667
28,Aerosmith,Big Ones,Cryin',5.15438333333
29,Aerosmith,Big Ones,Amazing,5.94198333333
30,Aerosmith,Big Ones,Blind Man,4.01196666667
31,Aerosmith,Big Ones,Deuces Are Wild,3.59791666667
32,Aerosmith,Big Ones,The Other Side,4.07291666667
33,Aerosmith,Big Ones,Crazy,5.2776
34,Aerosmith,Big Ones,Eat The Rich,4.18393333333
35,Aerosmith,Big Ones,Angel,5.12695
36,Aerosmith,Big Ones,Livin' On The Edge,6.35385
37,Alanis Morissette,Jagged Little Pill,All I Really Want,4.74818333333
38,Alanis Morissette,Jagged Little Pill,You Oughta Know,4.1539
39,Alanis Morissette,Jagged Little Pill,Perfect,3.13555
40,Alanis Morissette,Jagged Little Pill,Hand In My Pocket,3.69283333333
41,Alanis Morissette,Jagged Little Pill,Right Through You,2.93528333333
42,Alanis Morissette,Jagged Little Pill,Forgiven,5.00591666667
43,Alanis Morissette,Jagged Little Pill,You Learn,3.99498333333
44,Alanis Morissette,Jagged Little Pill,Head Over Feet,4.45821666667
