,country,city,population
6,ad,andorra la vella,20430.0
20,ad,canillo,3292.0
32,ad,encamp,11224.0
49,ad,la massana,7211.0
53,ad,les escaldes,15854.0
66,ad,ordino,2553.0
80,ad,sant julia de loria,8020.0
93,ae,abu dhabi,603687.0
242,ae,dubai,1137376.0
490,ae,sharjah,543942.0
1384,af,acin,15098.0
3717,af,anar darreh,10023.0
3784,af,andarab,27034.0
4547,af,asadabad,48400.0
4799,af,asmar,15708.0
5410,af,aybak,47877.0
5678,af,azrow,12526.0
6644,af,baglan,108481.0
6651,af,bagrami,30256.0
7935,af,baraki barak,22305.0
11059,af,cah ab,23424.0
11524,af,carikar,53693.0
14630,af,ciras,12778.0
18389,af,dawlatabad,13603.0
18390,af,dawlatabad,17674.0
19611,af,deh rawud,25683.0
22872,af,eskasem,12120.0
23231,af,farah,43574.0
24373,af,gardan diwal,6815.0
24457,af,gardez,103732.0
25037,af,gazni,143049.0
25187,af,geresk,43638.0
29709,af,herat,272880.0
30969,af,jalalabad,200389.0
32582,af,jurm,12121.0
32756,af,kabul,3043589.0
40647,af,kholm,64954.0
40903,af,khowst,96246.0
44398,af,kuhestan,12087.0
45272,af,kusk,16952.0
46301,af,lar gerd,11635.0
49564,af,mehtar lam,17350.0
50172,af,mirabad,14160.0
53427,af,nahrin,22389.0
56128,af,nuristan,17072.0
56562,af,orgun,10665.0
56920,af,pagman,49173.0
57325,af,panjab,13471.0
63360,af,qandahar,391230.0
63616,af,qarchi gak,8942.0
63793,af,qarqin,15023.0
66589,af,qunduz,161943.0
67917,af,rostaq,25644.0
67989,af,rudbar,11034.0
69071,af,sahrak,15967.0
70277,af,sangin,13579.0
71418,af,sar-e pul,52138.0
75671,af,sharan,7368.0
76853,af,shibarghan,55658.0
78759,af,sindand,29273.0
81828,af,tagab,6400.0
82607,af,taloqan,64275.0
83641,af,taywarah,14398.0
84011,af,tir pol,6979.0
84139,af,tokzar,12021.0
85454,af,uruzgan,13400.0
88112,af,zaranj,33894.0
89289,ag,all saints,2526.0
89312,ag,carlisle,831.0
89328,ag,codrington,682.0
89352,ag,freetown,623.0
89380,ag,liberta,1668.0
89401,ag,old road,623.0
89409,ag,parham,969.0
89445,ag,swetes,727.0
89505,ai,the valley,1379.0
89938,al,bajram curri,7967.0
90044,al,ballsh,10361.0
90345,al,berat,47606.0
90488,al,bilisht,7114.0
91096,al,bulqize,11212.0
91168,al,burrel,15539.0
91548,al,cerrik,14269.0
91749,al,corovode,14046.0
92023,al,delvine,3916.0
92530,al,durres,122034.0
92635,al,elbasan,100903.0
92673,al,erseke,7890.0
92787,al,fier,59719.0
92814,al,fierze,742.0
92816,al,fierze,742.0
93000,al,fushe-arrez,2438.0
93033,al,fushe-kruje,10458.0
93406,al,gjirokaster,23437.0
93886,al,gramsh,11556.0
94466,al,himare,4596.0
95085,al,kamze,11026.0
95321,al,kavaje,29354.0
95354,al,kelcyre,2486.0
95415,al,kerrabe,1177.0
95508,al,klos,683.0
95750,al,konispol,1349.0
95770,al,koplik,4078.0
95790,al,korce,58259.0
96022,al,kraste,1168.0
96121,al,kruje,21286.0
96211,al,kucove,18166.0
96230,al,kukes,17972.0
96353,al,kurbnesh,1429.0
96491,al,lac,24825.0
96796,al,leskovik,2655.0
96846,al,lezhe,18695.0
96864,al,libohove,3651.0
96884,al,librazhd,12691.0
97300,al,lushnje,41423.0
97474,al,maliq,3735.0
97542,al,mamurras,8282.0
97930,al,memaliaj,4951.0
98152,al,milot,2157.0
98957,al,orikum,2604.0
99219,al,patos,22679.0
99291,al,peqin,7513.0
99333,al,permet,10686.0
99358,al,perrenjas,4015.0
99397,al,peshkopi,15261.0
99756,al,pogradec,25758.0
99772,al,polican,10663.0
100050,al,puke,6495.0
100707,al,roskovec,6657.0
100838,al,rreshen,10064.0
100893,al,rrogozhine,5620.0
100947,al,rubik,2332.0
101118,al,sarande,15147.0
101252,al,selenice,6912.0
101580,al,shengjin,2698.0
101733,al,shijak,14138.0
101840,al,shkoder,89102.0
102779,al,tepelene,11955.0
102871,al,tirana,374801.0
103217,al,ulze,600.0
103879,al,vlore,89528.0
103926,al,vore,4973.0
104639,am,abovyan,1379.0
104640,am,abovyan,35677.0
104658,am,agarakadzor,1195.0
104659,am,agarak,1575.0
104660,am,agarak,1278.0
104661,am,agarak,4707.0
104679,am,aghavnadzor,1252.0
104680,am,aghavnadzor,1925.0
104681,am,aghavnatun,2913.0
104761,am,akhuryan,7672.0
104763,am,aknalich,2654.0
104764,am,aknashen,1362.0
104781,am,alaverdi,13186.0
104812,am,amasia,1675.0
104815,am,amberd,1267.0
104833,am,anushavan,1532.0
104834,am,apaga,1634.0
104835,am,aparan,5670.0
104845,am,aragats,2952.0
104846,am,aragats,5092.0
104849,am,aragyukh,999.0
104857,am,aramus,3214.0
104858,am,arapi,1738.0
104859,am,ararat,6554.0
104863,am,arazap,1373.0
104867,am,archis,1235.0
104875,am,areni,1718.0
104876,am,arevabuyr,1041.0
104877,am,arevashat,1403.0
104879,am,arevashogh,2435.0
104882,am,arevik,2455.0
104883,am,arevik,1522.0
104885,am,arevshat,2089.0
104886,am,arevshat,1623.0
104887,am,argavand,1703.0
104888,am,argavand,2047.0
104889,am,argel,2528.0
104901,am,armash,2434.0
104902,am,armavir,2752.0
104918,am,arshaluys,3808.0
104923,am,artashat,20562.0
104933,am,arteni,3086.0
104935,am,artimet,1501.0
104940,am,artsvaberd,3193.0
104943,am,artsvanist,2819.0
104948,am,arzakan,2660.0
104951,am,arzni,2244.0
104954,am,ashnak,1131.0
104957,am,ashtarak,18779.0
104960,am,astghadzor,3520.0
104989,am,avshar,4215.0
105000,am,aygavan,3758.0
105003,am,aygedzor,2535.0
105006,am,aygehovit,2888.0
105007,am,aygek,1095.0
105010,am,aygepat,1349.0
105012,am,aygeshat,1358.0
105013,am,aygeshat,1606.0
105014,am,aygestan,2431.0
105015,am,aygezard,3192.0
105016,am,aygut,997.0
105030,am,ayrum,2174.0
105031,am,ayrum,2174.0
105037,am,azatamut,1850.0
105038,am,azatan,4448.0
105041,am,azatavan,2886.0
105042,am,azatavan,2886.0
105063,am,baghramyan,1690.0
105066,am,bagratashen,3024.0
105072,am,balahovit,2982.0
105079,am,bambakashat,3089.0
105087,am,bardzrashen,1273.0
105121,am,bazum,1114.0
105130,am,berdavan,3150.0
105131,am,berd,8374.0
105166,am,brnakot,1912.0
105170,am,brun,1028.0
105179,am,buzhakan,1678.0
105181,am,byurakan,3902.0
105182,am,byuravan,1228.0
105184,am,byureghavan,6972.0
105197,am,chambarak,6153.0
105241,am,chochkan,1740.0
105258,am,dalar,2504.0
105259,am,dalarik,3080.0
105274,am,darakert,2325.0
105287,am,darpas,1785.0
105297,am,dashtavan,1762.0
105313,am,ddmashen,2157.0
105330,am,dilijan,13480.0
